事件,触发条件,时间,影响,备注
美国波音747喷气客机首次飞行,,01		Jen		1970,美国经济上升，旅游上升,
美苏军备竞赛,,01		Jen		1970,苏联经济下降,
美军入侵柬埔寨,美国经济高于一定值,04		Apr		1970,柬埔寨经济下降，旅游下降,
秘鲁大雪崩,,05		May		1970,南美经济下降，旅游下降,
北爱尔兰危机,,08		Aug		1971,英国、北爱尔兰经济下降，旅游下降,
美元贬值，通货膨胀,美国经济高于一定值,12		Dec		1971,世界经济下降，机票价格上升,
英国，爱尔兰，丹麦，挪威加入欧洲经济共同体,英国经济低于一定值,01		Jen		1972,欧洲经济上升,
第20届奥运会血案,西德经济高于一定值,09		Sep		1972,西德经济上升，旅游下降,
第四次中东战争,,01		Jen		1973,世界经济大幅下降，油价上升，机票价格上升,
土耳其航空981号航班失事,随机,03		Mar		1974,世界旅游下降,
第一次石油危机,,08		Aug		1974,油价上涨，机票价格上升,
中国胜利油田建成,中国经济高于一定值,09		Sep		1974,中国经济上升,
东南亚局势混乱,,03		Mar		1975,东南亚经济下降，旅游下降,
唐山大地震,,07		Jul		1976,中国经济下降，旅游下降,
特内里费空难,随机,03		Mar		1977,世界旅游下降,
北海油井爆炸,欧洲经济高于一定值,04		Apr		1977,欧洲经济下降，油价上升，机票价格上升,
阿富汗流血政变,,04		Apr		1978,中东旅游下降,
越南入侵柬埔寨,东南亚经济高于一定值,12		Dec		1978,东南亚经济下降，旅游下降,
第二次石油危机,,01		Jen		1979,世界经济下降，油价上升，机票价格上升,
中国经济特区建立,中国经济低于一定值,03		Mar		1980,中国经济上升，旅游上升,
沙特阿拉伯航空163号航班失事,随机,08		Aug		1980,世界旅游下降，机票价格下降,
两伊战争,,09		Sep		1980,伊朗、伊拉克经济下降，旅游下降，机票价格上涨,
石油价格逐渐回落,,01		Jen		1981,油价下降,（至2000年期间因为油价升降时间较短，虽有波动但未列上）
空客a320-100试飞成功,随机,03		Mar		1982,机票价格下降,
英阿战争,阿根廷经济高于一定值,04		Apr		1982,阿根廷经济下降，旅游下降,
第五次中东战争爆发,,06		Jun		1982,中东经济下降，旅游下降，机票价格上升,
印度暴乱,印度经济低于一定值,01		Jen		1983,印度经济下降，旅游下降,
石油价格削减,,03		Mar		1983,世界经济上升，机票价格下降,
艾滋病在全球蔓延,世界经济，世界旅游高于一定值,05		May		1983,世界经济下降,
印度航空182号航班失事,随机,06		Jun		1985,世界旅游下降,
日本航空123号航班失事,随机,08		Aug		1985,世界旅游下降,
黑色星期股市暴跌,美国经济高于一定值,01		Jen		1987,世界经济下降，旅游下降,
美国对日本实行经济制裁,日本经济高于一定值,04		Apr		1987,日本经济下降,
菲律宾海难,,12		Dec		1987,世界旅游下降,
美洲吉尔伯特飓风,,09		Sep		1988,美洲经济下降，旅游下降,
洛克比空难,随机,12		Dec		1988,世界旅游下降，机票价格下降,
加州大地震,,01		Jen		1989,美国经济下降，旅游下降,
法国联合航空公司客机爆炸,随机,09		Sep		1989,世界旅游下降,
柏林墙倒塌,,11		Nov		1989,德国经济上升，旅游上升,
海湾战争,美国经济高于一定值,08		Aug		1990,油价上涨，机票价格上升,
苏联解体,,12		Dec		1991,东欧经济下降,
南斯拉夫联邦解体,南斯拉夫经济低于一定值,04		Apr		1992,南斯拉夫经济下降,
俄罗斯国营公司股份化,俄罗斯经济低于一定值,07		Jul		1992,俄罗斯经济上升,
南部非洲发展共同体成立,南非经济低于一定值,08		Aug		1992,南非经济上升,
埃及地震,,10		Oct		1992., 埃及经济下降，旅游下降,
美国东部特大暴风雪,,03		Mar		1993,美国经济下降，旅游下降,
中国海上油田投产,中国经济高于一定值,08		Aug		1993,中国经济上升,
卢旺达大屠杀,,06		Jun		1994,,
世界贸易组织成立,世界经济高于一定值,01		Jen		1995,世界经济上升，旅游上升，机票价格下降,
日本“沙林”毒气事件,随机,03		Mar		1995,日本经济下降，旅游下降,
美国联邦大楼爆炸,美国经济高于一定值,04		Apr		1995,美国经济下降,
首次发现埃博拉病毒,非洲经济低于一定值,05		May		1995,世界经济下降，旅游下降,
查基达里撞机事件,随机,12		Dec		1996,世界旅游下降,
航空巨头波音和麦道合并,机票价格高于一定值,12		Dec		1996,机票价格下降,
亚洲经济危机,,07		Jul		1997,亚洲经济下降（中国除外）,
香港回归,,07		Jul		1997,中国经济上升，旅游上升,
空客a330-100试飞成功,随机,08		Aug		1997,机票价格下降,
印尼森林大火,随机,08		Aug		1997,印尼经济下降，旅游下降,
欧洲中央银行成立,欧洲经济高于一定值,06		Jun		1998,欧洲经济上升,
厄尔尼诺席卷全球,,07		Jul		1998,全球经济下降，旅游下降,
BP阿莫科公司成立,油价低于一定值,08		Aug		1998,油价上升，机票价格上升,
埃克森收购美孚公司,油价低于一定值,12		Dec		1998,油价上升，机票价格上升,
北约东扩，打击南联盟,美国经济高于一定值,01		Jen		1999,南联盟经济下降,
欧元诞生,欧洲经济高于一定值,01		Jen		1999,欧洲经济上升,
科索沃战争,,03		Mar		1999,欧洲经济下降，南联盟经济下降,
澳门回归,,12		Dec		1999,中国经济上升，旅游上升,
“911”恐怖袭击,美国经济高于一定值,09		Sep		2001,美国经济下降，旅游下降,
阿富汗战争,美国经济高于一定值,10		Oct		2001.,美国经济下降,
中国加入世界贸易组织,中国经济高于一定值,12		Dec		2001,中国经济上升,
第三次石油危机,,01		Jen		2003,,
伊拉克战争,美国经济高于一定值,01		Jen		2003,美国经济下降,
“卡特里娜”飓风袭击墨西哥湾,随机,01		Jen		2005,美国经济下降，油价大幅上升，机票价格上升,
美国次贷危机,,08		Aug		2007,美国经济下降,
全球金融危机,,01		Jen		2008,全球经济下降，油价大幅上涨,
